Date,time_period_end,time_open,time_close,Open,High,Low,Close,Volume,trades_count
2017-05-29T17:45:00.0000000Z,2017-05-29T18:00:00.0000000Z,2017-05-29T17:45:03.0000000Z,2017-05-29T17:59:58.0000000Z,265839.0,266088.0,264025.0,264892.0,51.2217704,1233
2017-05-29T18:00:00.0000000Z,2017-05-29T18:15:00.0000000Z,2017-05-29T18:00:02.0000000Z,2017-05-29T18:14:58.0000000Z,264794.0,266688.0,264382.0,266628.0,70.00051849,1292
2017-05-29T18:15:00.0000000Z,2017-05-29T18:30:00.0000000Z,2017-05-29T18:15:08.0000000Z,2017-05-29T18:29:58.0000000Z,266687.0,267567.0,265536.0,266547.0,137.29859504,1512
2017-05-29T18:30:00.0000000Z,2017-05-29T18:45:00.0000000Z,2017-05-29T18:30:01.0000000Z,2017-05-29T18:44:59.0000000Z,266699.0,266700.0,265800.0,266250.0,56.0959734,1148
2017-05-29T18:45:00.0000000Z,2017-05-29T19:00:00.0000000Z,2017-05-29T18:45:01.0000000Z,2017-05-29T18:59:54.0000000Z,266250.0,267300.0,266002.0,266648.0,36.18202672,417
2017-05-29T19:00:00.0000000Z,2017-05-29T19:15:00.0000000Z,2017-05-29T19:00:01.0000000Z,2017-05-29T19:14:55.0000000Z,266343.0,267755.0,266343.0,267600.0,43.7663215,438
2017-05-29T19:15:00.0000000Z,2017-05-29T19:30:00.0000000Z,2017-05-29T19:15:01.0000000Z,2017-05-29T19:29:45.0000000Z,267651.0,267755.0,266601.0,267657.0,53.59277135,225
2017-05-29T19:30:00.0000000Z,2017-05-29T19:45:00.0000000Z,2017-05-29T19:30:04.0000000Z,2017-05-29T19:44:34.0000000Z,266971.0,268798.0,266800.0,268101.0,74.90600525,302
2017-05-29T19:45:00.0000000Z,2017-05-29T20:00:00.0000000Z,2017-05-29T19:45:00.0000000Z,2017-05-29T19:59:55.0000000Z,268001.0,268989.0,268001.0,268501.0,42.00426312,289
2017-05-29T20:00:00.0000000Z,2017-05-29T20:15:00.0000000Z,2017-05-29T20:00:20.0000000Z,2017-05-29T20:14:54.0000000Z,268900.0,269390.0,268502.0,269390.0,32.15736693,198
2017-05-29T20:15:00.0000000Z,2017-05-29T20:30:00.0000000Z,2017-05-29T20:15:18.0000000Z,2017-05-29T20:29:54.0000000Z,269395.0,272001.0,269390.0,271074.0,181.006858,686
2017-05-29T20:30:00.0000000Z,2017-05-29T20:45:00.0000000Z,2017-05-29T20:30:07.0000000Z,2017-05-29T20:44:59.0000000Z,271081.0,271900.0,271000.0,271601.0,130.06494581,949
2017-05-29T20:45:00.0000000Z,2017-05-29T21:00:00.0000000Z,2017-05-29T20:45:00.0000000Z,2017-05-29T20:59:34.0000000Z,271601.0,272173.0,271285.0,271578.0,59.79871271,495
2017-05-29T21:00:00.0000000Z,2017-05-29T21:15:00.0000000Z,2017-05-29T21:00:40.0000000Z,2017-05-29T21:14:59.0000000Z,271870.0,272999.0,271500.0,272997.0,62.74640928,559
2017-05-29T21:15:00.0000000Z,2017-05-29T21:30:00.0000000Z,2017-05-29T21:15:00.0000000Z,2017-05-29T21:29:52.0000000Z,272997.0,274911.0,272001.0,272543.0,202.75786179,1012
2017-05-29T21:30:00.0000000Z,2017-05-29T21:45:00.0000000Z,2017-05-29T21:30:09.0000000Z,2017-05-29T21:44:59.0000000Z,272602.0,273387.0,271000.0,271193.0,147.44443031,629
2017-05-29T21:45:00.0000000Z,2017-05-29T22:00:00.0000000Z,2017-05-29T21:45:01.0000000Z,2017-05-29T21:59:52.0000000Z,271280.0,274998.0,271200.0,274117.0,173.32396592,790
2017-05-29T22:00:00.0000000Z,2017-05-29T22:15:00.0000000Z,2017-05-29T22:00:13.0000000Z,2017-05-29T22:14:59.0000000Z,274051.0,274998.0,272517.0,273061.0,174.46633574,811
2017-05-29T22:15:00.0000000Z,2017-05-29T22:30:00.0000000Z,2017-05-29T22:15:01.0000000Z,2017-05-29T22:29:58.0000000Z,273062.0,274500.0,272051.0,273151.0,121.68402222,553
2017-05-29T22:30:00.0000000Z,2017-05-29T22:45:00.0000000Z,2017-05-29T22:30:01.0000000Z,2017-05-29T22:44:54.0000000Z,273638.0,273638.0,271500.0,271654.0,123.87709028,861
2017-05-29T22:45:00.0000000Z,2017-05-29T23:00:00.0000000Z,2017-05-29T22:45:09.0000000Z,2017-05-29T22:59:53.0000000Z,271672.0,273527.0,271000.0,271861.0,135.18273688,885
2017-05-29T23:00:00.0000000Z,2017-05-29T23:15:00.0000000Z,2017-05-29T23:00:12.0000000Z,2017-05-29T23:14:51.0000000Z,272301.0,273388.0,271956.0,272519.0,60.93081403,648
2017-05-29T23:15:00.0000000Z,2017-05-29T23:30:00.0000000Z,2017-05-29T23:15:01.0000000Z,2017-05-29T23:29:56.0000000Z,272554.0,272987.0,271600.0,271926.0,79.17917543,830
2017-05-29T23:30:00.0000000Z,2017-05-29T23:45:00.0000000Z,2017-05-29T23:30:03.0000000Z,2017-05-29T23:44:54.0000000Z,271933.0,272701.0,271708.0,272192.0,58.17433026,718
2017-05-29T23:45:00.0000000Z,2017-05-30T00:00:00.0000000Z,2017-05-29T23:45:01.0000000Z,2017-05-29T23:59:59.0000000Z,272202.0,272372.0,271802.0,272199.0,80.57550159,749
2017-05-30T00:00:00.0000000Z,2017-05-30T00:15:00.0000000Z,2017-05-30T00:00:01.0000000Z,2017-05-30T00:00:59.0000000Z,272173.0,272213.0,271800.0,271801.0,8.57623777,72
