Close,High,Low,Open,time_close,time_open,time_period_end,Date,trades_count,Volume
1138998.0,1138998.0,1138053.0,1138053.0,2020-09-29T20:44:38.1640000Z,2020-09-29T20:30:02.7400000Z,2020-09-29T20:45:00.0000000Z,2020-09-29T20:30:00.0000000Z,42,0.8985
1138576.0,1140262.0,1138432.0,1139000.0,2020-09-29T20:57:35.3640000Z,2020-09-29T20:45:20.6560000Z,2020-09-29T21:00:00.0000000Z,2020-09-29T20:45:00.0000000Z,74,3.9152
1139686.0,1140268.0,1138576.0,1138576.0,2020-09-29T21:07:35.6930000Z,2020-09-29T21:00:03.9630000Z,2020-09-29T21:15:00.0000000Z,2020-09-29T21:00:00.0000000Z,25,0.6597
1140207.0,1141436.0,1139699.0,1139699.0,2020-09-29T21:28:55.7110000Z,2020-09-29T21:15:16.8120000Z,2020-09-29T21:30:00.0000000Z,2020-09-29T21:15:00.0000000Z,58,3.4625
1139004.0,1140786.0,1139004.0,1140207.0,2020-09-29T21:40:07.0990000Z,2020-09-29T21:30:20.0170000Z,2020-09-29T21:45:00.0000000Z,2020-09-29T21:30:00.0000000Z,28,1.1584
1139054.0,1139054.0,1137997.0,1139040.0,2020-09-29T21:59:50.8390000Z,2020-09-29T21:47:18.1430000Z,2020-09-29T22:00:00.0000000Z,2020-09-29T21:45:00.0000000Z,42,0.8029
1139500.0,1139953.0,1139055.0,1139055.0,2020-09-29T22:10:27.4650000Z,2020-09-29T22:00:03.1390000Z,2020-09-29T22:15:00.0000000Z,2020-09-29T22:00:00.0000000Z,20,0.1396
1140033.0,1140494.0,1139563.0,1139563.0,2020-09-29T22:27:28.0650000Z,2020-09-29T22:15:23.2880000Z,2020-09-29T22:30:00.0000000Z,2020-09-29T22:15:00.0000000Z,33,0.2075
1138408.0,1140038.0,1138074.0,1139938.0,2020-09-29T22:44:29.4010000Z,2020-09-29T22:30:07.9220000Z,2020-09-29T22:45:00.0000000Z,2020-09-29T22:30:00.0000000Z,62,0.9979
1139068.0,1139068.0,1138371.0,1138418.0,2020-09-29T22:59:30.2750000Z,2020-09-29T22:45:04.1360000Z,2020-09-29T23:00:00.0000000Z,2020-09-29T22:45:00.0000000Z,47,2.2191
1145345.0,1145999.0,1139139.0,1139139.0,2020-09-29T23:14:47.7870000Z,2020-09-29T23:00:03.6290000Z,2020-09-29T23:15:00.0000000Z,2020-09-29T23:00:00.0000000Z,169,12.1169
1147586.0,1148799.0,1145318.0,1145318.0,2020-09-29T23:28:45.9120000Z,2020-09-29T23:15:03.5220000Z,2020-09-29T23:30:00.0000000Z,2020-09-29T23:15:00.0000000Z,183,11.7785
1146991.0,1148000.0,1146179.0,1147402.0,2020-09-29T23:44:35.6110000Z,2020-09-29T23:30:04.7950000Z,2020-09-29T23:45:00.0000000Z,2020-09-29T23:30:00.0000000Z,130,4.4858
1146514.0,1146996.0,1146476.0,1146991.0,2020-09-29T23:57:04.3840000Z,2020-09-29T23:45:14.6230000Z,2020-09-30T00:00:00.0000000Z,2020-09-29T23:45:00.0000000Z,66,2.197
1147149.0,1147150.0,1146515.0,1146515.0,2020-09-30T00:00:40.1650000Z,2020-09-30T00:00:01.2800000Z,2020-09-30T00:15:00.0000000Z,2020-09-30T00:00:00.0000000Z,28,0.9716
