product_code,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,ltp,volume,volume_by_product
BTC_JPY,2020-05-29T00:07:03.88,12691505,1030290.0,1030928.0,0.08510499,0.26999999,1692.94966854,1967.45195853,1030290.0,120600.32258574,6165.28602564
BTC_JPY,2020-05-29T00:07:09.137,12691676,1030141.0,1030795.0,0.1,0.2,1692.96539738,1965.67329604,1030290.0,120596.32998291,6165.28602564
BTC_JPY,2020-05-29T00:07:14.22,12691826,1030141.0,1030645.0,0.1,0.2,1696.96866355,1967.48373014,1030290.0,120605.73503745,6164.44302564
BTC_JPY,2020-05-29T00:07:18.687,12691987,1029740.0,1029816.0,3.4,0.38745206,1694.13450057,1966.76929826,1030000.0,120602.14906012,6165.52402574
BTC_JPY,2020-05-29T00:07:24.147,12692105,1029500.0,1029740.0,0.01,0.02144549,1696.18020044,1966.71724374,1029548.0,120616.64976037,6165.75202574
BTC_JPY,2020-05-29T00:10:08.957,12695552,1029209.0,1029723.0,0.1,0.018000000000000002,1701.93638926,1971.00837366,1029723.0,120793.91148289,6175.64461721
BTC_JPY,2020-05-29T00:10:14.37,12695665,1029237.0,1029851.0,0.1,0.1,1702.31208926,1971.32577366,1029723.0,120794.66248222,6175.64461721
BTC_JPY,2020-05-29T00:10:19.48,12695742,1029263.0,1029851.0,0.1,0.1,1702.69763861,1971.32577366,1029723.0,120792.76807004,6174.46301159
BTC_JPY,2020-05-29T00:10:24.14,12695819,1029157.0,1029807.0,1.0,0.6893,1702.15668927,1972.67500366,1029723.0,120795.18364902,6174.46301159
BTC_JPY,2020-05-29T00:10:28.783,12695909,1029157.0,1029723.0,1.0,2.375,1701.37508926,1974.93170366,1029723.0,120792.45733242,6174.46301159
BTC_JPY,2020-05-29T00:10:33.923,12696012,1029157.0,1029705.0,1.0,0.3739,1700.65963862,1974.58060723,1029721.0,120798.15519546,6174.66301159
BTC_JPY,2020-05-29T00:10:38.977,12696125,1029157.0,1029649.0,1.0,0.5874,1699.43617284,1976.31690723,1029721.0,120805.72941377,6174.65301159
BTC_JPY,2020-05-29T00:10:44.557,12696255,1029157.0,1029585.0,1.0,0.5874,1697.80627284,1973.05228723,1029721.0,120806.82641202,6174.65301159
BTC_JPY,2020-05-29T00:10:49.36,12696357,1029157.0,1029185.0,0.98841904,0.02,1701.23469188,1975.40478723,1029157.0,120804.5762046,6174.66459255
BTC_JPY,2020-05-29T00:10:54.143,12696438,1028991.0,1029155.0,0.0601,0.5953,1699.90127271,1977.74848819,1029157.0,120801.19409751,6175.43612922
BTC_JPY,2020-05-29T00:10:58.993,12696542,1028749.0,1029151.0,1.0,0.5953,1700.23735222,1980.06233745,1028991.0,120804.24329867,6175.47622922
BTC_JPY,2020-05-29T00:11:04.76,12696634,1028750.0,1029154.0,0.1,0.2,1698.68225223,1980.52976758,1028991.0,120801.74930051,6175.45622922
BTC_JPY,2020-05-29T00:11:09.3,12696705,1028750.0,1029156.0,0.08,0.5953,1695.2374893,1979.00370478,1029157.0,120802.56300532,6175.60222922
BTC_JPY,2020-05-29T00:11:14.207,12696749,1028750.0,1028991.0,0.08,0.01,1697.70228943,1978.00440389,1029157.0,120801.77625426,6175.44122922
BTC_JPY,2020-05-29T00:11:19.797,12696827,1028749.0,1029145.0,0.7,0.5904,1695.17425223,1980.42420402,1029145.0,120804.1298589,6175.83222922
BTC_JPY,2020-05-29T00:11:24.407,12696905,1028749.0,1029120.0,0.6,0.19,1698.77618905,1979.92156029,1028749.0,120804.1568589,6175.93322922
BTC_JPY,2020-05-29T00:11:29.233,12696962,1028749.0,1028991.0,0.6,0.04,1697.74062795,1978.56178016,1028749.0,120806.12857992,6175.93322922
BTC_JPY,2020-05-29T00:11:33.563,12697006,1028749.0,1028991.0,0.59,0.04,1700.66778384,1979.39315029,1028749.0,120795.83954062,6175.94322922
BTC_JPY,2020-05-29T00:11:39.713,12697098,1028749.0,1028991.0,0.59,0.04,1701.19257752,1979.44776016,1028749.0,120786.54972719,6175.94322922
BTC_JPY,2020-05-29T00:11:43.923,12697144,1028749.0,1028991.0,0.58,0.04,1701.54678384,1978.59358029,1028749.0,120782.00084427,6175.76322922
BTC_JPY,2020-05-29T00:11:49.057,12697172,1028749.0,1029156.0,0.58,0.1,1696.57208384,1978.42061384,1028991.0,120779.9186936,6175.80322922
BTC_JPY,2020-05-29T00:11:54.783,12697211,1028761.0,1029100.0,0.1,0.1,1698.92299099,1978.92172714,1028991.0,120782.49819237,6175.80322922
BTC_JPY,2020-05-29T00:11:59.05,12697239,1028761.0,1029100.0,0.1,0.1,1697.93099112,1979.31009075,1028991.0,120784.03429928,6175.80322922
BTC_JPY,2020-05-29T00:12:04.107,12697285,1028787.0,1029100.0,0.05,0.1,1701.28687751,1978.73987714,1028991.0,120789.19439312,6175.80322922
BTC_JPY,2020-05-29T00:12:08.487,12697309,1028811.0,1029100.0,0.05,0.1,1700.94099112,1979.13499075,1028991.0,120792.74499312,6175.80322922
BTC_JPY,2020-05-29T00:12:13.467,12697349,1028800.0,1029100.0,0.05,0.1,1701.17999112,1979.47799075,1028991.0,120791.60831779,6175.80322922
BTC_JPY,2020-05-29T00:12:19.447,12697381,1028810.0,1029156.0,0.1,0.2,1700.86387738,1978.13848375,1029100.0,120790.56365745,6175.67322922
BTC_JPY,2020-05-29T00:12:24.087,12697426,1028835.0,1029157.0,0.5746,1.49844761,1701.78254926,1977.18815866,1029157.0,120802.57914149,6176.28736257
BTC_JPY,2020-05-29T00:15:09.463,12700121,1030130.0,1030290.0,0.26999999,1.0,1710.03782883,1968.61962913,1030199.0,120814.91997038,6182.4157594
BTC_JPY,2020-05-29T00:15:14.047,12700206,1030290.0,1030500.0,0.01,0.03,1711.50632894,1969.65936913,1030290.0,120818.74100295,6182.4257594
BTC_JPY,2020-05-29T00:15:19.25,12700282,1030290.0,1030500.0,0.01,0.03,1711.21529417,1969.00050436,1030290.0,120812.86100295,6182.4257594
BTC_JPY,2020-05-29T00:15:23.44,12700327,1030161.0,1030199.0,0.26999999,2.84679999,1710.90879403,1971.09235435,1030199.0,120819.86003129,6184.73995941
BTC_JPY,2020-05-29T00:15:29.427,12700407,1030174.0,1030724.0,0.5376,0.15,1712.08154128,1964.9973714999999,1030199.0,120804.08755678,6187.2967604
BTC_JPY,2020-05-29T00:15:34.507,12700518,1030291.0,1030716.0,0.5363,0.15,1711.17924141,1968.61530137,1030293.0,120801.17971678,6187.4967603999985
BTC_JPY,2020-05-29T00:15:39.203,12700615,1030291.0,1030706.0,0.1,0.15,1711.65590549,1970.25125137,1030293.0,120796.10436861,6187.4967603999985
BTC_JPY,2020-05-29T00:15:44.927,12700677,1030290.0,1030695.0,0.4,0.1,1711.34280549,1970.8347015000002,1030290.0,120796.17069235,6188.196760399999
BTC_JPY,2020-05-29T00:15:49.54,12700763,1030304.0,1030722.0,0.1,0.05,1711.91550536,1971.7501715,1030290.0,120794.77661271,6188.196760399999
BTC_JPY,2020-05-29T00:15:54.78,12700842,1030315.0,1030721.0,0.5396,0.05,1712.75510549,1971.3195015000001,1030290.0,120793.78177203,6186.383360399999
BTC_JPY,2020-05-29T00:15:58.71,12700882,1030331.0,1030724.0,0.5396,0.01,1712.55510549,1970.8039015000002,1030290.0,120769.86831715,6186.383360399999
BTC_JPY,2020-05-29T00:16:04.083,12700976,1030291.0,1030724.0,0.5434,0.01,1711.72090551,1971.3919015000001,1030331.0,120766.34505399,6186.846860399999
BTC_JPY,2020-05-29T00:16:08.99,12701035,1030344.0,1030724.0,0.5434,0.01,1706.98389101,1971.31065106,1030303.0,120765.60222241,6186.8668603999995
BTC_JPY,2020-05-29T00:16:13.79,12701127,1030331.0,1030724.0,0.4,0.01,1706.62389101,1969.33085106,1030334.0,120755.77988877,6187.0668603999975
BTC_JPY,2020-05-29T00:16:18.957,12701208,1030332.0,1030724.0,0.5366,0.01,1709.15709103,1971.37616106,1030334.0,120749.74424569,6187.0668603999975
BTC_JPY,2020-05-29T00:16:24.59,12701284,1030343.0,1030724.0,0.1,0.01,1710.27649104,1971.50502106,1030334.0,120754.79400802,6187.0668603999975
BTC_JPY,2020-05-29T00:16:29.347,12701376,1029648.0,1030667.0,0.4296,0.03,1703.6436386,1973.31092991,1030000.0,120766.48531719,6188.1488604
BTC_JPY,2020-05-29T00:16:34.327,12701566,1029414.0,1029739.0,0.3356,0.15,1702.56733859,1974.64197745,1029500.0,120773.54684271,6187.85886027
BTC_JPY,2020-05-29T00:16:38.863,12701646,1029414.0,1029725.0,0.3356,0.05,1705.9404697999994,1977.33826886,1029500.0,120752.70219938,6187.38126119
BTC_JPY,2020-05-29T00:16:43.977,12701722,1029415.0,1029859.0,0.5367,0.25,1708.7451408,1976.87986886,1029811.0,120749.25370755,6187.50590019
BTC_JPY,2020-05-29T00:16:49.047,12701828,1029500.0,1029828.0,0.05,0.2,1707.50470841,1976.67983647,1029846.0,120728.61677119,6187.66590019
BTC_JPY,2020-05-29T00:16:53.477,12701894,1029500.0,1029813.0,0.03,0.15,1707.06970841,1976.47114647,1029720.0,120715.03457593,6185.38474164
BTC_JPY,2020-05-29T00:16:58.747,12701968,1029500.0,1029823.0,0.03,0.2,1708.29740841,1976.60435647,1029720.0,120702.79726651,6185.01474164
BTC_JPY,2020-05-29T00:17:04.76,12702049,1029500.0,1029835.0,0.03,0.2,1708.76661972,1976.26488467,1029720.0,120692.96419038,6184.38774164
BTC_JPY,2020-05-29T00:17:09.053,12702081,1029500.0,1029814.0,0.03,0.0475,1709.63056674,1975.62243752,1029720.0,120684.98606009,6184.38774164
BTC_JPY,2020-05-29T00:17:14.633,12702141,1029414.0,1029415.0,0.316571,0.94547,1708.89858346,1979.22425467,1029415.0,120685.00589404,6184.48344164
BTC_JPY,2020-05-29T00:17:19.493,12702204,1029304.0,1029414.0,0.05,0.62342901,1709.84727659,1979.28323666,1029414.0,120685.96648561,6184.86001263
BTC_JPY,2020-05-29T00:17:24.513,12702258,1029305.0,1029414.0,0.05,0.62342901,1708.24301272,1978.99730079,1029414.0,120686.25830461,6184.86001263
BTC_JPY,2020-05-29T00:20:08.61,12705907,1027851.0,1028555.0,0.1,0.05,1697.41765273,1984.17846966,1028000.0,120782.05975181,6189.04139818
BTC_JPY,2020-05-29T00:20:11.473,12705978,1028000.0,1028549.0,1.65013996,0.1,1695.72759281,1984.66486966,1028000.0,120793.00509966,6194.89125822
BTC_JPY,2020-05-29T00:20:19.853,12706108,1028000.0,1028555.0,1.65013996,0.05,1699.14456124,1983.44315929,1028549.0,120795.54441802,6194.83985822
BTC_JPY,2020-05-29T00:20:24.603,12706138,1028000.0,1028337.0,1.65013996,1.16,1700.26466124,1984.02404903,1028549.0,120794.5505099,6194.51035722
BTC_JPY,2020-05-29T00:20:29.323,12706243,1028156.0,1028791.0,0.1,0.31,1700.41566111,1981.01103337,1028337.0,120797.26969863,6195.67035722
BTC_JPY,2020-05-29T00:20:34.417,12706391,1028082.0,1028837.0,0.5765,0.5765,1700.58776557,1983.2827391,1028337.0,120798.44398247,6195.67035722
BTC_JPY,2020-05-29T00:20:39.037,12706515,1028024.0,1028815.0,0.1,0.7265,1701.66267143,1984.0942435,1028337.0,120795.16856936,6195.67035722
BTC_JPY,2020-05-29T00:20:44.463,12706634,1028036.0,1028548.0,0.1,0.099,1701.3711657,1983.20603337,1028337.0,120785.81548043,6195.65035922
BTC_JPY,2020-05-29T00:20:49.497,12706735,1028000.0,1028539.0,1.65013996,0.5765,1702.64116557,1984.93435985,1028544.0,120788.25177866,6195.68445922
BTC_JPY,2020-05-29T00:20:53.5,12706839,1028000.0,1028525.0,1.65013996,1.0,1697.90426584,1984.52645985,1028544.0,120805.32528712,6195.68445922
BTC_JPY,2020-05-29T00:20:59.507,12706968,1028000.0,1028334.0,0.15013931,1.31,1698.83869995,1985.0792535,1028000.0,120815.69302410002,6197.18445987
BTC_JPY,2020-05-29T00:21:04.017,12707027,1028000.0,1028329.0,0.15013931,0.05,1699.33169994,1985.05921852,1028000.0,120817.10640704,6193.27445987
BTC_JPY,2020-05-29T00:21:09.297,12707153,1027691.0,1028293.0,0.2363,1.0,1699.43986063,1980.82156852,1028000.0,120821.91150807,6193.92459918
BTC_JPY,2020-05-29T00:21:13.873,12707266,1028000.0,1028256.0,1.0,1.0,1700.77356075,1982.0504335,1027691.0,120819.29637279,6193.93111618
BTC_JPY,2020-05-29T00:21:18.513,12707370,1027931.0,1028337.0,0.1,1.0,1700.37656074,1984.31008355,1027920.0,120831.97579029,6196.07025817
BTC_JPY,2020-05-29T00:21:24.273,12707463,1027702.0,1028328.0,0.1,0.31,1698.49259132,1983.71586426,1027931.0,120839.89286148,6195.60490761
BTC_JPY,2020-05-29T00:21:29.213,12707528,1027702.0,1028337.0,0.1,1.0,1699.2655871,1982.53561853,1027920.0,120835.43836434,6195.61280761
BTC_JPY,2020-05-29T00:21:34.4,12707601,1027702.0,1028331.0,0.12,0.5975,1698.75102558,1984.25381426,1027920.0,120835.40733938,6195.61280761
BTC_JPY,2020-05-29T00:21:39.527,12707684,1027714.0,1028326.0,0.1,0.03,1699.5855912999998,1984.61680426,1027920.0,120837.67702915,6195.61280761
BTC_JPY,2020-05-29T00:21:44.047,12707741,1027702.0,1028326.0,0.02,0.03,1698.18402558,1982.37937853,1027920.0,120835.83332551,6195.18698209
BTC_JPY,2020-05-29T00:21:49.643,12707857,1028027.0,1028500.0,0.05,0.001,1703.03779129,1983.24435426,1028337.0,120847.1071805,6196.01698209
BTC_JPY,2020-05-29T00:21:54,12707941,1028052.0,1028548.0,0.1,0.0117,1702.76116656,1982.83261426,1028337.0,120854.09068913,6196.01698209
BTC_JPY,2020-05-29T00:21:59.083,12707998,1028011.0,1028337.0,0.1,0.3775,1699.61616644,1982.72421853,1028337.0,120863.18539726,6196.01698209
BTC_JPY,2020-05-29T00:22:04.723,12708078,1028012.0,1028337.0,0.05,0.3775,1699.12069737,1982.57814933,1028011.0,120866.07874726,6195.97698209
BTC_JPY,2020-05-29T00:22:09.327,12708112,1028023.0,1028337.0,0.1,0.17,1702.33069737,1982.81911853,1028011.0,120868.56655743,6195.68915717
